Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,File Path,Open Finder
VEFXHWE6,bookSection,2013,"Guo, J. C. Y.; MacKenzie, K.",Kinematic wave for overland flow,Overland Flow and Surface Runoff,,,,,,2013,2023-03-16 17:52:29,2023-03-16 17:52:29,,31-53,,,,,,,,,,,,,,,,,,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895236483&partnerID=40&md5=954a38774cf0348880f97a6d23b1dd95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4FFEZY6E,journalArticle,2008,"Guo, James C.",Volume-Based Imperviousness for Storm Water Designs,Journal of Irrigation and Drainage Engineering,,"0733-9437, 1943-4774",10.1061/(ASCE)0733-9437(2008)134:2(193),https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9437%282008%29134%3A2%28193%29,,2008-04,2023-03-16 17:52:29,2023-04-06 23:28:14,2023-04-06 23:00:50,193-196,,2,134,,J. Irrig. Drain Eng.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-41749092069&doi=10.1061%2f%28ASCE%290733-9437%282008%29134%3a2%28193%29&partnerID=40&md5=fe10240488b70660dbe802bdfb976f8b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVLVQG9P,journalArticle,2001,"Guo, James C. Y.",A Semivirtual Watershed Model by Neural Networks,Computer-Aided Civil and Infrastructure Engineering,,"1093-9687, 1467-8667",10.1111/0885-9507.00217,https://onlinelibrary.wiley.com/doi/10.1111/0885-9507.00217,,2001-03,2023-03-16 17:52:29,2023-04-06 23:23:17,2023-04-06 23:00:50,106-111,,2,16,,Computer-Aided Civil and Infrastructure Engineering,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035044488&doi=10.1111%2f0885-9507.00217&partnerID=40&md5=def22ce417d58c6d9a6b273a516c99e7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFP9DSEQ,journalArticle,1999,"Guo, James C. Y.",Critical Flow Section in Collector Channel,Journal of Hydraulic Engineering,,"0733-9429, 1943-7900",10.1061/(ASCE)0733-9429(1999)125:4(422),https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9429%281999%29125%3A4%28422%29,,1999-04,2023-03-16 17:52:29,2023-04-06 23:23:23,2023-04-06 23:00:51,422-425,,4,125,,J. Hydraul. Eng.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033117302&doi=10.1061%2f%28ASCE%290733-9429%281999%29125%3a4%28422%29&partnerID=40&md5=eb7394599a6512b334c6e53fbcb457b3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9YZKDMCI,journalArticle,2001,"Guo, James C. Y.",Design of Circular Infiltration Basin under Mounding Effects,Journal of Water Resources Planning and Management,,"0733-9496, 1943-5452",10.1061/(ASCE)0733-9496(2001)127:1(58),https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9496%282001%29127%3A1%2858%29,,2001-02,2023-03-16 17:52:29,2023-04-06 23:23:16,2023-04-06 23:00:50,58-65,,1,127,,J. Water Resour. Plann. Manage.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034746120&doi=10.1061%2f%28ASCE%290733-9496%282001%29127%3a1%2858%29&partnerID=40&md5=85bfd4ec2401759cdb5ac1cf16988fa5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8Y92AX56,journalArticle,1999,"Guo, James C. Y.",Detention Storage Volume for Small Urban Catchments,Journal of Water Resources Planning and Management,,"0733-9496, 1943-5452",10.1061/(ASCE)0733-9496(1999)125:6(380),https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9496%281999%29125%3A6%28380%29,,1999-11,2023-03-16 17:52:29,2023-04-06 23:23:24,2023-04-06 23:00:53,380-382,,6,125,,J. Water Resour. Plann. Manage.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033371185&doi=10.1061%2f%28ASCE%290733-9496%281999%29125%3a6%28380%29&partnerID=40&md5=eaf3760236b6a6500ce336fa91502e75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWHMR7T5,journalArticle,2020,"Guo, James C. Y.",Drain Time for Porous Stormwater Basin,Journal of Hydrologic Engineering,,"1084-0699, 1943-5584",10.1061/(ASCE)HE.1943-5584.0001915,https://ascelibrary.org/doi/10.1061/%28ASCE%29HE.1943-5584.0001915,,2020-05,2023-03-16 17:52:29,2023-04-06 23:23:00,2023-04-06 23:00:49,04020017,,5,25,,J. Hydrol. Eng.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081745615&doi=10.1061%2f%28ASCE%29HE.1943-5584.0001915&partnerID=40&md5=5a525fadafd3388db276387497ea7e93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2E3ZU2PU,journalArticle,2001,"Guo, James C. Y.",Rational Hydrograph Method for Small Urban Watersheds,Journal of Hydrologic Engineering,,"1084-0699, 1943-5584",10.1061/(ASCE)1084-0699(2001)6:4(352),https://ascelibrary.org/doi/10.1061/%28ASCE%291084-0699%282001%296%3A4%28352%29,,2001-08,2023-03-16 17:52:29,2023-04-06 23:22:58,2023-04-06 23:00:50,352-356,,4,6,,J. Hydrol. Eng.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035396669&doi=10.1061%2f%28ASCE%291084-0699%282001%296%3a4%28352%29&partnerID=40&md5=bbaa180951b4eb48875690f96046c5a2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47IENNYQ,journalArticle,1998,"Guo, James C. Y.",Risk-Cost Approach to Interim Drainage Structure Design,Journal of Water Resources Planning and Management,,"0733-9496, 1943-5452",10.1061/(ASCE)0733-9496(1998)124:6(330),https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9496%281998%29124%3A6%28330%29,,1998-11,2023-03-16 17:52:29,2023-04-06 23:23:21,2023-04-06 23:00:50,330-333,,6,124,,J. Water Resour. Plann. Manage.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032215070&doi=10.1061%2f%28ASCE%290733-9496%281998%29124%3a6%28330%29&partnerID=40&md5=a6a4b0cb1b442dc028a676a987315d92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X8YXC8NN,journalArticle,2000,"Guo, James C. Y.",Street Storm Water Conveyance Capacity,Journal of Irrigation and Drainage Engineering,,"0733-9437, 1943-4774",10.1061/(ASCE)0733-9437(2000)126:2(119),https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9437%282000%29126%3A2%28119%29,,2000-03,2023-03-16 17:52:29,2023-04-06 23:23:26,2023-04-06 23:00:50,119-123,,2,126,,J. Irrig. Drain Eng.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033823760&doi=10.1061%2f%28ASCE%290733-9437%282000%29126%3a2%28119%29&partnerID=40&md5=59f12b91e79b52713898ee2593cc4fd3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CXZIHXIX,journalArticle,2012,"Guo, James C. Y.; Cheng, Jeff C. Y.; Wright, Len",Field Test on Conversion of Natural Watershed into Kinematic Wave Rectangular Plane,Journal of Hydrologic Engineering,,"1084-0699, 1943-5584",10.1061/(ASCE)HE.1943-5584.0000512,https://ascelibrary.org/doi/10.1061/%28ASCE%29HE.1943-5584.0000512,,2012-08,2023-03-16 17:52:29,2023-04-06 23:23:01,2023-04-06 23:00:52,944-951,,8,17,,J. Hydrol. Eng.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876812923&doi=10.1061%2f%28ASCE%29HE.1943-5584.0000512&partnerID=40&md5=7c5c441fe557152ec79c22bd71c81c72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88XMYR5S,journalArticle,2015,"Guo, James C. Y.; Hsu, Eric S. C.",Converging Kinematic Wave Flow,Journal of Irrigation and Drainage Engineering,,"0733-9437, 1943-4774",10.1061/(ASCE)IR.1943-4774.0000868,https://ascelibrary.org/doi/10.1061/%28ASCE%29IR.1943-4774.0000868,,2015-08,2023-03-16 17:52:29,2023-04-06 23:23:04,2023-04-06 23:00:57,04015006,,8,141,,J. Irrig. Drain Eng.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997294841&doi=10.1061%2f%28ASCE%29IR.1943-4774.0000868&partnerID=40&md5=6b541d3bc2e6ae7063eb9c56cf8e8937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D39EAT69,journalArticle,2014,"Guo, James C. Y.; Hsu, Eric S. C.",Diverging Kinematic Wave Flow,Journal of Irrigation and Drainage Engineering,,"0733-9437, 1943-4774",10.1061/(ASCE)IR.1943-4774.0000767,https://ascelibrary.org/doi/10.1061/%28ASCE%29IR.1943-4774.0000767,,2014-11,2023-03-16 17:52:29,2023-04-06 23:23:02,2023-04-06 23:00:53,04014036,,11,140,,J. Irrig. Drain Eng.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912011733&doi=10.1061%2f%28ASCE%29IR.1943-4774.0000767&partnerID=40&md5=4d8f2287a1d7946116aefdc52decce2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VB5A6XRL,journalArticle,2001,"Guo, James C. Y.; Hughes, William",Storage Volume and Overflow Risk for Infiltration Basin Design,Journal of Irrigation and Drainage Engineering,,"0733-9437, 1943-4774",10.1061/(ASCE)0733-9437(2001)127:3(170),https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9437%282001%29127%3A3%28170%29,,2001-06,2023-03-16 17:52:29,2023-04-06 23:23:05,2023-04-06 23:00:59,170-175,,3,127,,J. Irrig. Drain Eng.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035331818&doi=10.1061%2f%28ASCE%290733-9437%282001%29127%3a3%28170%29&partnerID=40&md5=9faae355f73559b294206ad03312039f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8NUMEXY,journalArticle,2019,"Guo, James C. Y.; Li, Jun Qi; Urbonas, Ben; Wang, Wen Liang",Runoff Capture Methods Developed for Stormwater Low-Impact Development Designs,Journal of Hydrologic Engineering,,"1084-0699, 1943-5584",10.1061/(ASCE)HE.1943-5584.0001771,https://ascelibrary.org/doi/10.1061/%28ASCE%29HE.1943-5584.0001771,,2019-04,2023-03-16 17:52:29,2023-04-06 23:23:07,2023-04-06 23:00:53,04019005,,4,24,,J. Hydrol. Eng.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079630435&doi=10.1061%2f%28ASCE%29HE.1943-5584.0001771&partnerID=40&md5=253baf723e151faeccf9557f781185bd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NECQ9EUF,journalArticle,2015,"Guo, James C. Y.; Luu, Toan M.",Hydrologic Model Developed for Stormwater Infiltration Practices,Journal of Hydrologic Engineering,,"1084-0699, 1943-5584",10.1061/(ASCE)HE.1943-5584.0001161,https://ascelibrary.org/doi/10.1061/%28ASCE%29HE.1943-5584.0001161,,2015-09,2023-03-16 17:52:29,2023-04-06 23:23:08,2023-04-06 23:00:56,06015001,,9,20,,J. Hydrol. Eng.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939220458&doi=10.1061%2f%28ASCE%29HE.1943-5584.0001161&partnerID=40&md5=bc66501d0616cf059af999a2b060bf69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUMLGJ9D,journalArticle,2014,"Guo, James C. Y.; MacKenzie, Ken",Modeling Consistency for Small and Large Watershed Studies,Journal of Hydrologic Engineering,,"1084-0699, 1943-5584",10.1061/(ASCE)HE.1943-5584.0000948,https://ascelibrary.org/doi/10.1061/%28ASCE%29HE.1943-5584.0000948,,2014-08,2023-03-16 17:52:29,2023-04-06 23:23:09,2023-04-06 23:00:54,04014009,,8,19,,J. Hydrol. Eng.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929312143&doi=10.1061%2f%28ASCE%29HE.1943-5584.0000948&partnerID=40&md5=29405bd6d20671ab791d3e4ecc133212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WMEYM2E8,journalArticle,2009,"Guo, James C. Y.; MacKenzie, Ken A.; Mommandi, Amanullah",Design of Street Sump Inlet,Journal of Hydraulic Engineering,,"0733-9429, 1943-7900",10.1061/(ASCE)HY.1943-7900.0000094,https://ascelibrary.org/doi/10.1061/%28ASCE%29HY.1943-7900.0000094,,2009-11,2023-03-16 17:52:29,2023-04-06 23:23:11,2023-04-06 23:01:03,1000-1004,,11,135,,J. Hydraul. Eng.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350430493&doi=10.1061%2f%28ASCE%29HY.1943-7900.0000094&partnerID=40&md5=3ab94f5c7099eeeb48a5de3c3c0e4d30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCMXAZA,journalArticle,2016,"Guo, James C. Y.; MacKenzie, Ken A.; Mommandi, Amanullah",Flow Interception Capacity of Inclined Grate,Journal of Irrigation and Drainage Engineering,,"0733-9437, 1943-4774",10.1061/(ASCE)IR.1943-4774.0000999,https://ascelibrary.org/doi/10.1061/%28ASCE%29IR.1943-4774.0000999,,2016-04,2023-03-16 17:52:29,2023-04-06 23:23:12,2023-04-06 23:00:54,04016001,,4,142,,J. Irrig. Drain Eng.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961123221&doi=10.1061%2f%28ASCE%29IR.1943-4774.0000999&partnerID=40&md5=38510cab7f175daa9411a73ec78a7f4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRJ3JS9C,journalArticle,1996,"Guo, James C. Y.; Urbonas, Ben",Maximized Detention Volume Determined by Runoff Capture Ratio,Journal of Water Resources Planning and Management,,"0733-9496, 1943-5452",10.1061/(ASCE)0733-9496(1996)122:1(33),https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9496%281996%29122%3A1%2833%29,,1996-01,2023-03-16 17:52:29,2023-04-06 23:22:50,2023-04-06 23:01:03,33-39,,1,122,,J. Water Resour. Plann. Manage.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029677627&doi=10.1061%2f%28ASCE%290733-9496%281996%29122%3a1%2833%29&partnerID=40&md5=9330e3dc0aa2a6e4fa10e4dac2c03fdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V8ZSSGGA,journalArticle,2014,"Guo, James C. Y.; Urbonas, Ben",Volume-Based Runoff Coefficients for Urban Catchments,Journal of Irrigation and Drainage Engineering,,"0733-9437, 1943-4774",10.1061/(ASCE)IR.1943-4774.0000674,https://ascelibrary.org/doi/10.1061/%28ASCE%29IR.1943-4774.0000674,,2014-02,2023-03-16 17:52:29,2023-04-06 23:22:51,2023-04-06 23:00:55,04013013,,2,140,,J. Irrig. Drain Eng.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892860240&doi=10.1061%2f%28ASCE%29IR.1943-4774.0000674&partnerID=40&md5=2c841be1c7e74e93ec581d3127459db8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I3H44W4M,journalArticle,2014,"Guo, James C. Y.; Urbonas, Ben; MacKenzie, Ken",Water Quality Capture Volume for Storm Water BMP and LID Designs,Journal of Hydrologic Engineering,,"1084-0699, 1943-5584",10.1061/(ASCE)HE.1943-5584.0000847,https://ascelibrary.org/doi/10.1061/%28ASCE%29HE.1943-5584.0000847,,2014-04,2023-03-16 17:52:29,2023-04-06 23:22:52,2023-04-06 23:01:06,682-686,,4,19,,J. Hydrol. Eng.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896259062&doi=10.1061%2f%28ASCE%29HE.1943-5584.0000847&partnerID=40&md5=8ec3067667192571bc44815bc475bdc7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2QDBFTI3,journalArticle,2001,"Guo, James C. Y.; Urbonas, Ben; Stewart, Kevin",Rain Catch under Wind and Vegetal Cover Effects,Journal of Hydrologic Engineering,,"1084-0699, 1943-5584",10.1061/(ASCE)1084-0699(2001)6:1(29),https://ascelibrary.org/doi/10.1061/%28ASCE%291084-0699%282001%296%3A1%2829%29,,2001-01,2023-03-16 17:52:29,2023-04-06 23:22:54,2023-04-06 23:01:06,29-33,,1,6,,J. Hydrol. Eng.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034746129&doi=10.1061%2f%28ASCE%291084-0699%282001%296%3a1%2829%29&partnerID=40&md5=a1f71826fb26a5a330145ac58d2d46e2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ELGUXPG,journalArticle,2020,"Guo, James C. Y.; Wang, Wen Liang; Li, Jun Qi",Cascading Flow System for Urban Drainage Design,Journal of Hydrologic Engineering,,"1084-0699, 1943-5584",10.1061/(ASCE)HE.1943-5584.0001945,https://ascelibrary.org/doi/10.1061/%28ASCE%29HE.1943-5584.0001945,,2020-07,2023-03-16 17:52:29,2023-04-06 23:22:55,2023-04-06 23:00:57,04020030,,7,25,,J. Hydrol. Eng.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085256726&doi=10.1061%2f%28ASCE%29HE.1943-5584.0001945&partnerID=40&md5=f076a22275524c33e2ece122721896be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFPDYFBZ,journalArticle,2009,"Guo, James C.; Hargadin, Kelly",Conservative Design Rainfall Distribution,Journal of Hydrologic Engineering,,"1084-0699, 1943-5584",10.1061/(ASCE)HE.1943-5584.0000013,https://ascelibrary.org/doi/10.1061/%28ASCE%29HE.1943-5584.0000013,,2009-05,2023-03-16 17:52:29,2023-04-06 23:23:29,2023-04-06 23:00:51,528-530,,5,14,,J. Hydrol. Eng.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-65449124941&doi=10.1061%2f%28ASCE%29HE.1943-5584.0000013&partnerID=40&md5=0dd52150a4c0b534c3dc80fb992bf10c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942BEIIG,journalArticle,2009,"Guo, James C.; Urbonas, Ben",Conversion of Natural Watershed to Kinematic Wave Cascading Plane,Journal of Hydrologic Engineering,,"1084-0699, 1943-5584",10.1061/(ASCE)HE.1943-5584.0000045,https://ascelibrary.org/doi/10.1061/%28ASCE%29HE.1943-5584.0000045,,2009-08,2023-03-16 17:52:29,2023-04-06 23:23:20,2023-04-06 23:01:01,839-846,,8,14,,J. Hydrol. Eng.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-68049093038&doi=10.1061%2f%28ASCE%29HE.1943-5584.0000045&partnerID=40&md5=0b1a017d44685e405276c8d6dace4270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTGPM8N5,journalArticle,2003,"Guo, James C.Y.",Design of Infiltrating Basin by Soil Storage and Conveyance Capacities,Water International,,"0250-8060, 1941-1707",10.1080/02508060308691717,http://www.tandfonline.com/doi/abs/10.1080/02508060308691717,,2003-12,2023-03-16 17:52:29,2023-04-06 23:12:57,2023-04-06 23:00:50,411-415,,4,28,,Water International,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0345445960&doi=10.1080%2f02508060308691717&partnerID=40&md5=91159e45035f7a0749a4cf9643d7045f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3LAUI4KF,journalArticle,2009,"Guo, James C.Y.",Grade control for urban flood channel design,Journal of Hydro-environment Research,,15706443,10.1016/j.jher.2009.01.001,https://linkinghub.elsevier.com/retrieve/pii/S1570644309000033,,2009-04,2023-03-16 17:52:29,2023-04-06 23:12:58,2023-04-06 23:00:49,239-242,,4,2,,Journal of Hydro-environment Research,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-63649162824&doi=10.1016%2fj.jher.2009.01.001&partnerID=40&md5=393c7b5e8ef6e111348cdb8ff6d79240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QRLDUT2U,journalArticle,1998,"Guo, James C.Y.",Overland Flow on a Pervious Surface,Water International,,"0250-8060, 1941-1707",10.1080/02508069808686747,http://www.tandfonline.com/doi/abs/10.1080/02508069808686747,,1998-06,2023-03-16 17:52:29,2023-04-06 23:12:52,2023-04-06 23:00:55,91-96,,2,23,,Water International,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002208360&doi=10.1080%2f02508069808686747&partnerID=40&md5=01cfe423162c4c216c169186e94b2f1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSLRPCQW,journalArticle,1999,"Guo, James C.Y.",Roll Waves in High Gradient Channels,Water International,,"0250-8060, 1941-1707",10.1080/02508069908692136,http://www.tandfonline.com/doi/abs/10.1080/02508069908692136,,1999-03,2023-03-16 17:52:29,2023-04-06 23:12:54,2023-04-06 23:00:50,65-69,,1,24,,Water International,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-26244438437&doi=10.1080%2f02508069908692136&partnerID=40&md5=65ddc7bee324a0bb898a914fd95c7738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2UFUP5Q7,journalArticle,2000,"Guo, James C.Y.",Street Stormwater Storage Capacity,Water Environment Research,,10614303,10.2175/106143000X138210,http://doi.wiley.com/10.2175/106143000X138210,,2000-09,2023-03-16 17:52:29,2023-04-06 23:12:55,2023-04-06 23:00:50,626-630,,5,72,,Water Environment Research,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034270985&doi=10.2175%2f106143000X138210&partnerID=40&md5=614e2c48ccb6e5b1a27a682336a596ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W28AIYLU,journalArticle,2021,"Guo, Kaihua; Guan, Mingfu; Yu, Dapeng",Urban surface water flood modelling – a comprehensive review of current models and future challenges,Hydrology and Earth System Sciences,,1607-7938,10.5194/hess-25-2843-2021,https://hess.copernicus.org/articles/25/2843/2021/,"Abstract. Urbanisation is an irreversible trend as a result of social and economic development. Urban areas, with high concentration of population, key infrastructure, and businesses, are extremely vulnerable to flooding and may suffer severe socio-economic losses due to climate change. Urban flood modelling tools are in demand to predict surface water inundation caused by intense rainfall and to manage associated flood risks in urban areas. These tools have been rapidly developing in recent decades. In this study, we present a comprehensive review of the advanced urban flood models and emerging approaches for predicting urban surface water flooding driven by intense rainfall. The study explores the advantages and limitations of existing model types, highlights the most recent advances, and identifies major challenges. Issues of model complexities, scale effects, and computational efficiency are also analysed. The results will inform scientists, engineers, and decision-makers of the latest developments and guide the model selection based on desired objectives.",2021-05-27,2023-03-16 17:52:29,2023-04-06 23:13:00,2023-04-06 23:01:02,2843-2860,,5,25,,Hydrol. Earth Syst. Sci.,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\AFRBYRU7\Guo et al. - 2021 - Urban surface water flood modelling – a comprehens.pdf; ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106964002&doi=10.5194%2fhess-25-2843-2021&partnerID=40&md5=3300be7ce5654b518d2c4ce799f249e2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\AFRBYRU7\Guo et al. - 2021 - Urban surface water flood modelling – a comprehens.pdf';,Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\AFRBYRU7\Guo et al. - 2021 - Urban surface water flood modelling – a comprehens.pdf';
ZLWWKWK8,journalArticle,2006,"Guo, Yiping",Updating Rainfall IDF Relationships to Maintain Urban Drainage Design Standards,Journal of Hydrologic Engineering,,"1084-0699, 1943-5584",10.1061/(ASCE)1084-0699(2006)11:5(506),https://ascelibrary.org/doi/10.1061/%28ASCE%291084-0699%282006%2911%3A5%28506%29,,2006-09,2023-03-16 17:52:29,2023-04-06 23:13:03,2023-04-06 23:00:56,506-509,,5,11,,J. Hydrol. Eng.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747231148&doi=10.1061%2f%28ASCE%291084-0699%282006%2911%3a5%28506%29&partnerID=40&md5=0fb1de7aa43fc7d8c2ae8c0d0a8037cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
